,,,,,,,,,,
,Spring Internship,,,,,,,,,
,Name,Job Title,Stipend,Interns,PPT,Test Date,Interview,Salary(If PPO),,Additional Information 
,,,,,,,,Base,CTC,
1,American Express,Technology Intern,70k,,03-09-21,03-09-21,08-09-21,,,
2,Amazon,SDE Intern,80k,,-,25-10-21,,,,
3,Zoom,Security Engineer,35k,,,02-10-21,,,,
3,"Samsung 
Semiconductor",Student Trainee Software,50k,5,-,17-10-21,18-10-21,14.25,18.25,
,,Student Trainee Hardware,,5,,,,,,Only ECE Students
4,NVIDIA,Hardware Intern,50k,,-,29-10-21,,,24.8,
5,HPE,Digital Transformation Intern,35k,,,,,,,
,,Sales Operations Intern,,,,,,,,
,,"Planning M Space
Global Operations Intern",,,,,,,,
,,Strategic Sourcing Intern,30k,,,,,,,
6,Infoblox,Software Engineer Intern,30k,11,16-11-21,"16-11-21
16-11-21",17-11-21,,9.5,
7,Digicert,Associate Software Engineer,40k,,,,,,,
,,"Associate Business
 Intelligence Analyst",,,,,,,,
,,"Associate Software
 Engineer (Automation)",,,,,,,,
8,Publicis Sapient,Engineering Intern,30k,,09-12-21,12-12-21,15-12-21,,,
9,Zebra Technologies,Intern,30k,11,10-11-21,-,15-11-21,,9,
10,Textron,Intern,18k,,,01-11-21,08-11-21,4.5,5.03,
11,Juniper Networks,Intern,42k,20,-,10-11-21,12-11-21,,12.6,
12,Intel,Intern,40k,4,,,,,14.7,
13,AT&T India ,Technical Intern,42k,,,,,,,
14,EY GDS,Intern - GDS Assurance Digital,21k,4,,,,,,
15,Autodesk,"Intern Software Developer
 Data and Process Management",,,,,,,,
,,"Intern Software Development 
PDMS-MFGFusion360",,,,,,,,
16,Kimberly Clark,Integration,25k,1,18-11-21,18-11-21,22-11-21,,,
,,"Automation Content & 
Process Enablement",,2,,,,,,
,,Global Website Engineering,,1,,,,,,
,,DevSecOps Automation,,1,,,,,,
,,WEM,,1,,,,,,
,,Control Tower,,2,,,,,,
,,Salesforce Commerce Cloud Intern,,,-,15-12-21,17-12-21,,,
17,Hiver,Application Support Engineer,21.5k,,,21-11-21,22-11-21,,8,
18,Uber,Software Engineering Intern,1.6L,,-,29-11-21,06-12-21,,,
19,Brane Enterprises,Intern,30k,,,,22-12-21,,7,
20,Quicken Software,Intern,50k,6,26-11-21,26-11-21,,,13,
21,â€‹MatreComm Technologies,Intern,15k,,,,,,3.5-6.5,
22,Yahoo!,Intern,,,,,,,,
23,Matrecomm ,Intern,15k,,30-11-21,30-11-21,,,3.5 - 6.5,
24,Hackerearth,Intern,40k,,,,,10,11,
25,Garrett Motion,Intern,50k,3,04-12-21,04-12-21,06-12-21,,,
26,Rakuten,Technical Intern,25k,8,,05-12-21,,,,
27,Signify (Females Only),Intern,,,,,,,,
28,Johnson Controls,Intern,18k,,,,,,6,
29,Grant Thornton,Intern,18k,3,"-
27-01-22",12-01-22,13-01-22,,,
30,Cisco,Intern,65k,6,-,08-12-21,"15-12-21
16-12-21",,,
31,Zscaler,Data Scientist Intern,30k,,,,,10,21,
,,Machine Learning Intern,,,,,,,,
32,Delta X Automotive,Intern,5k,,,,,,,
33,LogMeIn," Associate Software Engineering
 Intern",40k,3,13-12-21,13-12-21,15-12-21,,,
34,IQVIA,Intern,14.2k,22,,,,,7.23,
35,Inmobi,Intern,45k,,,,,,,
36,Texas Instruments,Digital,45k,,,,,,,
,, Embedded Software,,,,,,,,
37,NXP Semiconductors,Cyber Security Intern,32.5k,,,,,,17.5,
,,Software Intern,,,,,,,,
38,GE Healthcare,Intern,,4,12-11-21,12-11-21,,,,
39,Confluent Technologies,"Technical Program Manager, Intern",1L,,,,,,,
40,aiRender,3D Graphics Software Interns,0,,,,,,,
,, Full Stack Developer Intern,,,,,,,,
,,3D Graphics Data Science Intern,,,,,,,,
41,Soroco,Software Engineer,50k,,-,30-12-21,04-01-22,,,
42,Delightful Gourmet,Intern,30k,,03-01-22,03-01-22,04-01-22,,,
43,Drongo AI,Intern,10k,2,,,,,,
44,Better Half,Intern,50k,,,31-12-21,,,,
45,DataZymes.com,Data Analyst,15k,,,05-01-22,,,,
46,Victoria's Secret,Intern,30k,5,-,11-01-22,,,,
47,Telio.vn,Software Engineer Intern,20k,,,19-01-22,,9,10,
48,VErana Networks,Software Engineer Intern,20k - 25k,,,,,,,
49,Progress,Software Engineer Intern,30k,,,,,,8.5,
50,Automation Anywhere,Intern,35k,,08-02-22,,,,,
51,EasyEcom,Management Trainee,8k - 15k,,,,,,,
,,Software Developer,,,,,,,,
52,Keysight Technologies,Intern,25k,,,,,,3.6 - 4.8,
53,Infinera,VLSI/FPGA Intern,35k,,,,,,,
54,Hiver,Frontend Engineer Intern,21.5k,,,,,,,
55,Akamai,Software Engineer,35k,,,,,12.31,18.33,
56,Knudge.me,Software Engineer Frontend,25k,,,,,,,
,,Software Engineer Backend,,,,,,,,
57,Nichesoft,Software Engineer,20k,,,,,,,
58,MoveInSync,Software Engineer,30k,,,,,,8 - 10,
59,Liferay,Intern,20k,,,,,,6,
60, KePSLA,Frontend Intern,20k,,,"26-02-22
27-02-22",28-02-22,,6 - 7,
61,Tecplix Technologies,Intern,10k - 20k,,,,,,,
62,CELSTREAM,Software Engineer,30k,,,,,,8 - 9,
63,Allgovision,Intern,20k,,,,,,"5,4",
64,Nova,Product Support Intern,20k,,,,,,,
65,Orange Health,Software Intern,30k,,,,,8.4,9.4,
66,Analyttica Datalab Inc,Devops Intern,23k - 25k,,,,,,,
,,UI Intern,,,,,,,,
,,Software Test Intern,,,,,,,,
,,Java Intern,,,,,,,,
,,Python Intern,,,,,,,,