,Spring Internships,,,,,,,,,,
#,Company Name,Job Title,Compensation,,,,Placement Dates,,,"CGPA 
Cut-off",
,,,Internship,Base,CTC,Intern,PPT,Test Date,Interview,,
1,DigiCert,Software Engineer Intern,40k,,,,,,,8,"No coding round, resume shortlisting for interview"
2,Glance,Business/SDE/Product Intern,45k,,,4,,,,7,
3,Texas Instruments,Embedded Software/Analog Intern,60k,16.75,34.64,,,,,6,
4,ARM Embedded Technology,Intern,35k,,15.4,,,,,,
5,Infoblox,Software Engineering Intern,30k,,,7,8-11-2022,8-11-2022,8-11-2022,7,
6,HRLytics,Developer Intern,15k,,,,,,24-11-2022,,
7,Rakuten,Technical Intern,30k,,,,,7-12-2022,,,
8,Goldman sachs,Intern,35k,,,7,,07-12-2022,9-12-2022,,
9,Mahindra,Data Analytics Intern,30k,,,,8-12-2022,8-12-2022,,,
10,Kimberly Clark,Graduate Intern,25k,,,7,,,,,
11,Wabtec,Intern,30k,,,4,1-12-2022,1-12-2022,4-12-2022,,
12,SenseHQ,Software Engineer Intern,24k,,,3,,,09-12-2022,,
13,Intel,Intern,40k,,,5,,,,,
14,Zebra Technologies,Intern,30k,,,21,16-11-2022,16-11-2022,18-11-2022,7,
15,Drongo AI,Intern,15k,,,3,,,,7,
16,Centre for Smart Governance,Intern,15k-20k,,,6,,,,6,
17,British Telecom,Intern,60k,,17,4,,,,7.5,