,TIER 2,,,,,,,,,,,,
#,Company Name,Job Title,Compensation,,,# Jobs Offered,,,Placement Dates,,,"CGPA
Cut-off",Additional Comments
,,,Internship,Base,CTC,FTE,FTE + Intern,Intern,PPT,Test Date,Interview,,
1,Adobe (PPO),Associate Technical Consultant,,9,11.71,,5,,-,-,-,,This was a result of an external competition
2,Bosch (PPO),Eminent,25k,,7,,5,,,,,,
3,Infosys,Specialist Programmer,,,9.5,,,,,31-07-2022,,,
,,Digital Specialist Engineer,,,6.25,,,,,,,,
4,TCS,Digital,,,7.6,,,,,15-08-2022,,,
5,Mindtree,Graduate Engineer Trainee,,,6.5,1,,,27-08-2022,,,,
6,IBM,Cloud Engineer,,,11,1,5,8,,,,,
7,Deloitte USI,USI Risk and Financial Advisory,,,7.6,8,,,,,,,
,,USI consulting,,,7.6,54,,,,,,,
,,Deloitte India,,,7.6,18,,,,04-09-2022,06-09-2022,,
8,PwC,Risk Consulting,40k,7,9.23,,10,,21-09-2022,18-09-2022,21-09-2022,,
,,Technology Consulting,,,,,100,,,,,,
9,Wipro,,,5.5,6.5,,,,29-09-2022,29-09-2022,03-10-2022,,
10,Schneider Electric,Graduate Engineer Trainee,25k,,9,9,13,,21-09-2022,21-09-2022,28-09-2022,6.5,
11,Adobe Systems,Associate Technical Consultant,60k,,11,,,,,,,,
12,Hiver,Software Development Engineer,21.5k,4,11.69,,,,,,,,
13,Ather Energy,Electrical Engineer,,,10,,4,,26-09-2022,21-09-2022,26-09-2022,,
14,Juspay Technology,Technical Product Analyst,30k,,10,,,,,,,,
15,Oracle ACS,Technical Analyst ,,,10.01,17,,,,26-09-2022,27-09-2022,,
16,Affinsys,Solution Consultant,25k,,8.5,,,,26-09-2022,27-09-2022,30-09-2022,,
17,Volvo,GET & PGET,,7.5,,,,,,,,,
18,KPMG,Analyst TE - MS,,5,7,15,,,03-10-2022 and 05-10-2022,,,,
,,Analyst GRCS - Tech,,6,> 7,,,,07-11-2022 and 08-11-2022,,,6,
19,Subex,,40k,,8.5,1,,,,,,,
20,CynLr,Application Engineer,30k,,7-9,,,,,,,,
21,Deloitte India,Senior Analyst,,6.1,7.01,,6,,06-10-2022,30-09-2022,07-10-2022,,
22,Amadeus Labs,,30k,10,11.77,,5,8,04-10-2022,04-10-2022,08-10-2022,,
23,CSG India,SDE Grad,25k,,7.5,,,,30-09-2022,01-10-2022,,,
24,Nextuple,Associate Software Engineer,20k,,8,,,,03-10-2022,01-10-2022,03-10-2022,7,
,,Associate QA Engineer,20k,,7,,,,,,,,
25,Genpact,Business Analyst,25k,,10,,,,17-10-2022,,19-10-2022,7,
,,Software Engineer,25k,,10,,18,,,,,,
26,AT&T,Technical Intern,45k,,11.5+,,,13,08-10-2022,09-10-2022,12-10-2022,7.5,"Internship only, possible conversion to FTE "
27,Brane Enterprises,Associated Solution Leader Trainee,30k,10,10,,,,,,,,
28,Microchip Technology,,,,8,,,,,13-10-2022,,,
29,Wissen Technology,Associate Analyst,25k,,8,,2,,12-10-2022,,,7.5,
30,HDFC Bank,Functional / Technical Analyst,,4.71,7.46,,,,,12-10-2022,20-10-2022,5,
31,Broadridge Financial Solutions,Member Technical,30k,10,10,,,,17-10-2022,16-10-2022,17-10-2022,7,
32,Cognizant,GenC Elevate,,,6,11,-,-,First week of September,,,,
33,EY India,Analytics Consultant,,7.5,8.59,12,,,09-11-2022,5-11-2022,09-11-2022,6.5,
,,Cyber Consultant,,,,10,,,,,,,
,,Tech Risk Consultant,,,,9,,,,,,,
34,Collins Aerospace,,,,6.25,,,,13-10-2022,13-10-2022,14-10-2022,,
35,Nokia,Graduate Engineer Trainee,25k,,> 8.2,,5,,,,,6.5,CTC = 8.2 LPA + Gratuity + Mediclaim
36,ABB,Software Engineer,-,8.5,10.5,,-,-,,22-10-2022,,6.5,FTE Only
37,Perfios,Software Development Engineer,15.5k,9,10,,17,,14-10-2022,14-10-2022,14-10-2022,8,
38,Mercedes Benz R&D,Graduate Intern Trainee,,,10,,16,,,11-11-2022,15-11-2022,6.5,
39,Piramal Group,Data Scientist ( Support ),,5,6.05,,,,,,,7.5,
40,Elsevier India Technology,SWE I,,,7.71,,,,17-11-2022,17-11-2022,16-11-2022,,
41,314E Corporation,Software Engineer,,,8.1,,,,,,,,
42,HFCL,Graduate Engineer Trainee,25k,9,10,,,,,16-11-2022,17-11-2022,8,
43,Skylar Drones,,25k,,,,,,,,,,
44,EXL Service,Analyst,,,6.5,17,,,22-10-2022,22-10-2022,2-11-2022,,
45,Havells,,25k,,8,,,,19-11-2022,19-11-2022,9-12-2022,,
47,Standard Chartered,Development Engineer,,7.5,8.25,2,,,22-11-2022,22-11-2022,24-11-2022,7,
48,JSW,Graduate Engineer Trainee,,,8.5,,,,19-11-2022,19-11-2022,,6,
49,Harman International,Associate Engineer,,,7.75,16,,,10-11-2022,10-11-2022,21-11-2022,7,
50,Hexaware Technologies,,25k,,6,,,,,,,,
51,Conga,,12k,,7.2,,8,,,,,,
52,PhData,Associate Data Engineer,,,7,5,,,07-12-2022,07-12-2022,07-12-2022,,
53,Fractal Analytics,Imagineer,,,7,,,,,28-11-2022,,,
54,Dell,Associate Sales Engineer Analyst,35k,,8.47,,,,,,,,
55,TVS Motor Company,Data Engineer/Data Scientist,,,8,,,,,,,,
56,Alcon Laboratories,Associate Analyst,15-20k,6.11,7.28,,,,12-12-2022,12-12-2022,12-12-2022,,
57,LSEG,,,,7-10,,,,,9-12-2022,,,
58,WNS,Analyst,,,10,3,,,,,,,
59,Sonata,Trainee Digital Technology Specialist,,,6,0,0,0,17-12-2022,17-12-2022,19-12-2022,,
60,Zopsmart,SDE-I,30k,,10,,8,,,12-12-2022,,,
61,Applied Materials,Engineer,,,9.67,,,,,8-12-2022,9-12-2022,,