#,Company Name,Job Role,Internship,Compensation (LPA),,Intern (PBC),Final CGPA Cut-off
,,,,Base,CTC,,
1,Trilogy Innovations,Software Development Engineer Intern,75000,30,36.5,0,
2,Intuit,Software Engineer Intern,100000,,,0,8.5
3,Goldman Sachs,Intern,,,,1,
4,Arista Networks,Software Engineer Intern,65000,15.9,29.5,4,7.5
5,Fidelity Investments,Data Engineering Intern,35000,10,12,6,
,,Software Engineering Intern,,,,,
6,Microsoft,Site Reliability Engineer Intern,,,,2,
,,Hardware Engineer Intern,,,,1,
7,Morgan Stanley,Summer Analyst,87000,13,29.48,6,8.5
8,Gigsky,,35000,,,,7
9,UPL,NextGen Intern,40000,,10,2,9
10,Adobe,Technical Consultant Intern,60000,,,,7
11,JPMorgan Chase & Co.,Software Engineer Intern,75000,13.5,19.5,6,8.5
12,Oracle,Project Intern,50000,,,,6
13,Expedia Group,Mobile Engineering Intern,35000,15,31,6,7.5
,,Software Engineering Intern,,,,,
14,Akamai Technologies,,35000,14.36,19.89,6,7.5
15,Paypal,Software Engineer Intern,100000,15,34.4,1,7
,,Data Science Intern,,,,0,
16,Dover,Graduate Engineer Trainee,25000,,,4,7.5
17,Aveva,Software Developer Intern,50000,,15.8,8,8.5
18,G2,,40000,,15,3,
19,Sahaj AI,Software Developer Intern,20000,,,1,8
20,Bosch,Software Intern,35000,,,3,8
21,Ziroh Labs,Swift Development Intern,20000,,,,
,,Java Development Intern,,,,,
,,C# Development Intern,,,,,
22,Kapiva,Intern,15000,,,4,