Company,Role,Internship,Compensation (LPA),,Placed,,Note
,,,Base,CTC,Internship,Both,
Oracle (OFSS),Associate Application Developer,50000,15.3,40,1,3,"4 got PPO ( 1 of them rejected offer)
CTC = ~40LPA (Not exactly 40) -> RSUs worth Rs 16L + 8L Insurance and other Benefits"
JPMC (Summer Internship),Software Engineer,75000,13,19.75,,6,"13L Base + 1.5L JB + 1.25L Relocation 
+ 4L  Annual Incentive Compensation (Performace Based)"
JPMC (CFG),Software Engineer,,13,19.75,2,8,This is from the Code for Good for FTE
G2,,40000,15,15,,4,
Intuit,,120000,20.5,45,,1,
One App,,75000,,,,1,
Hewlett Packard Ent.,,-,12,17.5,,17,Took students through CTY program held on collaboration with CCBD (RR Campus Exclusive)
FS Investments,,125000,17,27,1,2,3 of the 4 were given the offer and all 3 accepted it
Razorpay,,50000,18,35,2,4,2L Signing Bonus + Includes ESOPs worth 15L
Visa,,90000,16.57,32,,5,Benefits included such as free cab and stuff. Additional 1.25L for Relocation Bonus
Fidelity Investments,,,,,2,1,
Akamai,,,,,,5,
Walmart,,110000,,,,2,
Paypal,,100000,,,,3,
CISCO,,98000,16.4,24.7,1,1,
,,,,,,,
,,,,,,,
,,,,,,,
Total Visited,14,,,Total Placed(☀️),9,63,
,,,,Grand Total,72,,
Highest Package,45,,,,,,
Average Package,27.88888889,,,,,,
Median Package,27,,,,,,