Blue - ONCAMPUS tests,,,,"Tier1 (T1) Offers - >12 Lpa CTC, Once Offer given student has to opt out from Placements EXCEPT for DREAM Offers (>60lpa) which will be mentioned in mail",,,,,,,,
American Express,25/10/24,FALSE,Tier 1,"19 CTC (13 Base), 1L Stipend",SDE,FTE + Intern,6,7.5,FALSE,FALSE,FALSE,
Licious ,19/10/24,FALSE,Tier 1,"16 LPA, 40k intern",,,,,FALSE,FALSE,FALSE,
Bounteous x Accolite (T2),10/11/24,FALSE,Tier 2,"8 LPA, 20k intern",,,,,FALSE,FALSE,FALSE,
Consillio (T2),17/10/24,FALSE,Tier 2,"8 CTC, 5 Base",Associate Software Engineer,FTE,15,7.5,FALSE,FALSE,FALSE,
Siemens EDA,23/10/24,FALSE,Tier 1,50k intern,Student Intern (Analog + SW),Internship (PBC),,8,FALSE,FALSE,FALSE,
Havells India (T2),30/10/24,FALSE,Tier 2,"11.5 CTC - 8 Base (CS), 9.5 CTC (ECE), 25k Intern","IOT(CS) , Power Electronics & Solar Roles",FTE + Intern,"3 (2 CS, 1 ECE)",,FALSE,FALSE,FALSE,
Thorogood Associates,16/10/24,FALSE,Tier 1,"14.81 CTC, 8 Base, 1.5L JB",Data/Ai Consultant (Data Cleaning),FTE,1,8,FALSE,FALSE,FALSE,TOTALLY DIFF. TYPE OF SELECTIONS. 3 Rounds of Case Studies conducted in Final interviews. Sent a second mail individually for people who were shortlisted. Shortlisted 9 this time. further shortlisted 4 for office round
RSM USI (T2),16/10/24,TRUE,Tier 2,7.7 CTC,Business Applications,FTE,,6,TRUE,FALSE,FALSE,
HPE (T2),17/10/24,FALSE,Tier 2,"7.5 CTC, 20k Intern","Technical Solution Consultant, Managed Services",FTE + Intern,10,7,FALSE,FALSE,FALSE,
Prime Numbers,24/10/24,FALSE,Tier 1,"12 LPA, 3L stocks, 30k stipend",SE 1,FTE + Intern,,7,FALSE,FALSE,FALSE,
Juniper Network,22/10/24,FALSE,Tier 1,"15.5 LPA, 42k intern","COO Intern, DevOps Intern",Internship (PBC),16,7.5,FALSE,FALSE,FALSE,
Progress,20/10/24,FALSE,Tier 1,30k Intern,Software Engineer Intern,Internship (PBC),,,FALSE,FALSE,FALSE,
Celstream (T2),6/12/24,TRUE,Tier 2,"8 CTC, 30k Intern",Software Engineer,FTE + Intern,4,7.7+,TRUE,FALSE,FALSE,"Shortlisted 110 people for Test.Then shortlisted 7 from ECE, 15 from CSE"
ConSecure (T2),30/10/24,FALSE,Tier 2,"12 CTC, 25k Stipend",SE-Next Gen GenAI,FTE + Intern,4,6,TRUE,TRUE,TRUE,
,,FALSE,,"8 CTC, 20k Stipend",SE-Next Gen CyberSecurity,,7,,,,,
,,FALSE,,"6 CTC, 15k Stipend",PreSales,,2,,,,,
,,FALSE,,"5 CTC, 12k Stipend",Full Stack Dev,,4,,,,,
EY India,7/11/24,FALSE,Tier 2,8.5L (7.5 Fixed),Associate Consultant,FTE + Intern,18,,,,,
NetCore Cloud,8/11/24,FALSE,Tier 1,"12 CTC, 15k Stipend",,FTE + Intern,,6,FALSE,TRUE,FALSE,"(18 months Bond), Shortlisted 35 for interview, 8 from MCA, rest from CS"
TexTron,22/11/24,FALSE,Tier 2,"25k Stipend, 6L if converted",,Internship (PBC),,7,FALSE,FALSE,FALSE,
Media.net,22/10/24,FALSE,Tier 1,15 CTC (13 Base),SRE,FTE + Intern,,6,TRUE,FALSE,TRUE,
Fluidyn (T2),25/10/24,FALSE,Tier 2,"6 CTC, 20k Stipend",,FTE + Intern,,7.5,FALSE,FALSE,FALSE,
Kimberley Clark (Intern),25/10/24,FALSE,Tier 2,25k Stipend,Graduate Engineering Traineer,Internship (PBC),,8,FALSE,FALSE,FALSE,
SimplyFi Softech(T3),8/11/24,FALSE,Tier 3,"4 CTC, 15k Stipend",Innovation Trainee & Innovation Engineer,FTE + Intern,,6,TRUE,TRUE,TRUE,
Hevo Data (Intern),26/10/24,FALSE,Tier 1,50k Stipend,SDE Intern,Internship (PBC),,8,FALSE,FALSE,FALSE,
Garett Motion (Intern),19/11/24,FALSE,Tier 1,30k Stipend,"CyberSec, Engineer, IT",Internship (PBC),,8,FALSE,FALSE,FALSE,Came with 10 Openings
Relx (Elsevier / LNLP) (T2),20/11/24,FALSE,Tier 2,8 CTC,SDE 1,FTE,,7,FALSE,FALSE,FALSE,
L7 Informatics (T2),30/10/24,FALSE,Tier 2,"6.5 CTC (4 Base), 25k Intern",,Internship (PBC),,8.5,FALSE,FALSE,FALSE,
Gameberry,14/11/24,FALSE,Tier 1,"15 CTC (13 Base), 50k Intern",SDE,FTE + Intern,,8.5,FALSE,FALSE,FALSE,Shortlisted 26 for Interview
Consuma.ai,15/11/24,FALSE,Tier 1,"30k Stipend, 12 CTC (9 Base) if converted",SDE Backend Intern,FTE + Intern,,8+,FALSE,FALSE,FALSE,
Sun Life (T2),20/11/24,FALSE,Tier 2,7 CTC,Graduate Engineer Trainee,FTE,4,7,FALSE,TRUE,FALSE,
Mphasis (T2),4/11/24,FALSE,Tier 2,"7 CTC, 20k Stipend",,FTE + Intern,,,FALSE,FALSE,FALSE,
Amagi,6/11/24,FALSE,Tier 1,18 CTC (15 Base),Product Software Engineer,FTE + Intern,3,,FALSE,FALSE,FALSE,
AMD (Intern),6/11/24,FALSE,Tier 1,34k Intern,"SW, HW role ",Internship (PBC),,7.5,FALSE,FALSE,FALSE,Shortlisted 3 for interview
ShadowFox (Intern),14/11/24,FALSE,Tier 2,"20k Intern, 8 CTC (if Converted)",SDE Intern,Internship (PBC),5,8,FALSE,FALSE,FALSE,Shortlisted 32 for writing Test
Truva (Porch Technologies),14/11/24,FALSE,Tier 1,"23 CTC (13 Base, 10 Stocks), 60k Intern",SDE Intern,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
DeltaX,12/11/24,FALSE,Tier 2,"7 CTC, Unpaid Internship",Product Engineer,FTE + Intern,,,FALSE,FALSE,FALSE,
ClearTrip (Flipkart),9/11/24,FALSE,Tier 1,"32 CTC (18 Base, 3 JB, 5 ESOPS), 1L Stipend",SDE1,FTE + Intern,"4 (2 FTE, 2 Intern only)",7.5,FALSE,FALSE,FALSE,
LeadSquared (T2),4/12/24,FALSE,Tier 2,"10-12 LPA, 30k Intern",SDE Intern,FTE + Intern,,7,FALSE,FALSE,FALSE,
Gigsky,5/12/24,FALSE,Tier 1,"15 CTC (7 Base),40k Intern",Software Engineer,FTE + Intern,,8+,FALSE,FALSE,FALSE,Shortlisted 236 Students for test above 8 from 7
Tech Mahindra (T3),8/12/24,TRUE,Tier 3,3.25 L,Graduate Engineer Trainee,FTE,,6.5,TRUE,TRUE,FALSE,Shortlisted 360+ for Test
Columbia Sportswear Company (T2),10/12/24,FALSE,Tier 2,6 CTC (5 Base),Software Engineer Trainee,FTE,,7,FALSE,FALSE,FALSE,Shortlisted 35 for Interview
Cubic Logics Company,26/11/24,TRUE,Tier 2,"6 CTC (4.5 Base), 15k Intern",SDE,FTE + Intern,,7,TRUE,TRUE,FALSE,Shortlisted 37 for Interview
Zynga Game Network,29/11/24,FALSE,Tier 1,80k Intern,SDE Intern,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
Logik.io,29/11/24,FALSE,Tier 1,"12 CTC, 35k Intern",SDE,FTE + Intern,,,TRUE,TRUE,FALSE,
Aptos (Intern),11/11/24,FALSE,,,SDE,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
Moenage India Pvt Ltd,3/12/24,FALSE,Tier 1,50k Intern,,Internship (PBC),,8.1+,FALSE,FALSE,FALSE,Shortlisted 15 for Interview
Zeta,30/11/24,TRUE,Tier 1,60k Intern,SDE Intern,Internship (PBC),,8,TRUE,FALSE,FALSE,
Oracle Financial Services,20/11/24,FALSE,Tier 2,"9 CTC, 50k Intern",Associate Consultant / Cloud Analyst,FTE + Intern,,,FALSE,FALSE,FALSE,
Infoblox,18/11/24,FALSE,Tier 2,35k Intern,Apprentice,Internship (PBC),15,7,FALSE,FALSE,FALSE,
Bizom,22/11/24,FALSE,Tier 2,"7 LPA, 25k Intern",Sales Development Representative,FTE + Intern,4,7,FALSE,FALSE,FALSE,
,,FALSE,,"7.5 LPA, 25k Intern",Business Development Manager,,1,,FALSE,FALSE,FALSE,
,,FALSE,,"8 LPA, 25k Intern",Presales,,2,,FALSE,FALSE,FALSE,
,,FALSE,,"6 LPA, 25k Intern",Marketing,,1,,FALSE,FALSE,FALSE,
,10/12/24,FALSE,,"10 LPA, 35k Intern",Product Trainee,,3,,FALSE,FALSE,FALSE,
Zanskar,19/11/24,FALSE,Tier 2,40k Intern,SDE Intern,Internship (PBC),,8.5,FALSE,FALSE,FALSE,
UST,19/11/24,FALSE,Tier 2,10 LPA,,FTE,,6,FALSE,FALSE,FALSE,
HourGlass,19/11/24,FALSE,Tier 2,"7 CTC, 20k Stipend",Patent Associate,FTE + Intern,1,7,FALSE,FALSE,FALSE,
PhData,14/11/24,TRUE,Tier 2,10 CTC,,FTE,20,,FALSE,TRUE,FALSE,"Hired 10 from CS, 10 from MCA each, Shortlisted 46 for interview"
AT&T,20/11/24,FALSE,Tier 1,"14 CTC, 50k Intern",Senior Associate,FTE + Intern,,8,FALSE,FALSE,FALSE,Shortlisted 35 for Interview
Surveyaan,20/11/24,FALSE,Tier 2,"20k Intern, 7 CTC if converted",Software Eng Intern,Internship (PBC),,,FALSE,FALSE,FALSE,
Altair India,5/12/24,TRUE,Tier 2,30k Stipend,Intern,Internship (PBC),2,6,TRUE,TRUE,TRUE,Shortlisted 36 for Interview
EMIDS,22/12/24,FALSE,Tier 2,6 CTC,Associate Software Engineer,FTE,,7,FALSE,FALSE,FALSE,Shortlisted 53 for Test. Further Shortlisted 6 for Interview in their Office
MakeMyTrip,21/11/24,FALSE,Tier 1,"22 CTC (12 Base, 10 RSU), 50k Intern",Software Engineer,FTE + Intern,2,7,FALSE,FALSE,FALSE,Shortlisted 42 for Interview
Apple Internship (AppleCare Team),21/11/24,FALSE,Tier 1,80K Stipend,Software Eng & ML Intern,Internship (PBC),,9+,FALSE,FALSE,FALSE,
EPAM,23/11/24,FALSE,Tier 2,"8 CTC, 45k Intern",Jr Software Engineer,FTE + Intern,,7,FALSE,TRUE,FALSE,
GW DeepConnect (GoWarm.ai) (T2),5/12/24,TRUE,Tier 2,"6 CTC (3 Base), 20k Intern",Software Engineer Intern,FTE + Intern,,7.5,FALSE,FALSE,FALSE,Shortlisted 28 for 1st Round Inteview. Then Shortlisted 6 for Final Round
Walmart Global Tech (Intern),22/11/24,FALSE,Tier 1,1L Stipend,CyberSec Intern,Internship (PBC),,7,FALSE,FALSE,FALSE,
O9 Solutions,4/12/24,FALSE,Tier 2,"30k Stipend, 7 CTC if converted",SDET,Internship (PBC),,7,FALSE,FALSE,FALSE,Shortlisted 14 for Interview
WNS Vurram,22/11/24,FALSE,Tier 2,"8 CTC, 25k Stipend",Associate Technical Consultant,FTE + Intern,,7,FALSE,FALSE,FALSE,
KPMG Global Services,3/12/24,FALSE,Tier 2,20k Stipend,Consulting Intern,Internship (PBC),16,6,FALSE,FALSE,FALSE,
Ather Energy,22/11/24,FALSE,Tier 1,30k Stipend,Ride Experience Analyst Intern (Product Role),Internship (PBC),,,FALSE,FALSE,FALSE,Shortlisted 53 for Test
Cimpress India (Diversity Hiring) (Remote),24/11/24,FALSE,Tier 1,"45k Stipend, 12 Base if converted",Software Engineer Intern,Internship (PBC),,7,FALSE,FALSE,FALSE,
Udaan,7/1/25,FALSE,Tier 1,55k Stipend,SDE Intern,Internship (PBC),4,7,TRUE,FALSE,FALSE,Shortlisted 19 for Interview
GuideWire (Intern),12/11/24,FALSE,Tier 1,50k Stipend,Product Security Intern (CyberSec),Internship (PBC),1,8,FALSE,FALSE,FALSE,5 Shortlisted for Interview
Azentio,29/11/24,FALSE,Tier 2,"50k Stipend, 10 CTC if converted",SDET - QA Intern,Internship (PBC),,8,FALSE,FALSE,FALSE,
DealShare,5/12/24,FALSE,Tier 1,"23 Package (13 Base, 2 JB, 8 ESOPs), 50k Intern",SDE,FTE + Intern,8,,FALSE,FALSE,FALSE,Shortlisted 17 for Interview
GuideWire (Intern),27/11/24,FALSE,Tier 1,50k Stipend,SecOps Intern,Internship (PBC),,7.5,FALSE,FALSE,FALSE,"People with Strong CyberSec background was req, Shortlisted x for Interview"
Palo Alto Networks,29/11/24,FALSE,Tier 1,"1L Stipend, 41 Package (14 Base, 5 JB, 20 RSU) if converted","SE, Business System Analyst (FinOps)",Internship (PBC),,,FALSE,FALSE,FALSE,
McKesson Compile,19/12/24,FALSE,Tier 1,"15 CTC, 60k Stipend",SDE Intern (Data Engineering Team),FTE + Intern,2,7.5,FALSE,FALSE,FALSE,
3rdiTech Inc,12/2/24,FALSE,Tier 2,25k Stipend,Student Intern,Internship (PBC),,,FALSE,FALSE,FALSE, (2 Openings)
Black Buck,4/12/24,FALSE,Tier 2,"7 CTC, 30k Stipend",,FTE + Intern,,8,FALSE,FALSE,FALSE,Shortlisted 45 for PPT/Test
SecPod,2/12/24,FALSE,Tier 2,"6 CTC, 25k Stipend",Test Automation Engineer,FTE + Intern,,,FALSE,FALSE,FALSE,Shortlisted 40 PPL for interview 
Harman Connected Services (Remote),4/12/24,FALSE,Tier 2,40k Stipend,Global Internship Program,Internship (PBC),,8,FALSE,FALSE,FALSE,Shortlisted 13 for Interview
F5 Innovations,5/12/24,FALSE,Tier 1,"20 CTC, 75k Stipend",QA Engineer,FTE + Intern,6,7.5 (F) & 8 (M),FALSE,FALSE,FALSE,
Harman (T3),6/12/24,FALSE,Tier 2,"25k Stipend, 5.5 CTC",,FTE + Intern,,8,FALSE,FALSE,FALSE,
JSW,7/12/24,FALSE,Tier 2,8 CTC (6 Base),Graduate Engineer Trainee,FTE,,6,FALSE,FALSE,FALSE,
Drongoai.com,7/12/24,FALSE,Tier 2,30k Stipend,Intern,Internship (PBC),,,TRUE,TRUE,TRUE,
Koeber Supply Chain Software,16/12/24,FALSE,Tier 1,"50k Stipend, 13 CTC (11 Base) if converted","SE Intern, Support Eng Intern",Internship (PBC),10,7.9,FALSE,FALSE,FALSE,Shortlisted 13 people for Interview
Akamai Technologies,,FALSE,Tier 1,,,,,,FALSE,FALSE,FALSE,
Binocs.co,9/12/24,FALSE,Tier 2,"30k Stipend, 11 LPA if converted","ML Intern, Product Designer, Product Manager",Internship (PBC),,3 ROLES,FALSE,FALSE,FALSE,
Sandvine,,FALSE,Tier 1,,,,,,FALSE,FALSE,FALSE,
BlueBird (T2),16/12/24,FALSE,Tier 2,"6-10 LPA, 25k Intern",Software (Android & Gen),FTE + Intern,,7,FALSE,TRUE,FALSE,Shortlisted 70 for hiring process
Commonwealth Bank of Australia,19/12/24,FALSE,Tier 1,12 CTC,Graduate Software Engineer,FTE,9,8,FALSE,FALSE,FALSE,Shortlisted 43 for Interview
Target,14/1/25,FALSE,Tier 1,30k Stipend,Apprentice Tech,Internship (PBC),,7,FALSE,FALSE,FALSE,
AB InBev,20/1/25,FALSE,Tier 2,30k Stipend,Intern,Internship (PBC),,7.1,FALSE,FALSE,FALSE,"Shortlisted 130 for Test, Shortlisted 21 for GD"
Mutiplier,,FALSE,,"80k Stipend, 20 CTC (15 Base) if converted",Software Engineer Intern,Internship (PBC),3,7,FALSE,FALSE,FALSE,Shortlisted 99 for test.
Swiggy,3/1/25,FALSE,Tier 1,40k Stipend,Engineering Intern,Internship (PBC),11,7,FALSE,FALSE,FALSE,"Shortlisted 58 for Interview, Then selected 11 partially from the List, Will later Hire more"
4Good.ai,,FALSE,Tier 2,,,,,,FALSE,FALSE,FALSE,
PeopleBox,,FALSE,,,,,,,FALSE,FALSE,FALSE,
Allo Health,15/12/24,TRUE,Tier 1,30k Stipend,SE Intern,Internship (PBC),,,FALSE,TRUE,TRUE,
KeySight,,FALSE,,,,,,,FALSE,FALSE,FALSE,
Emplay Analytics Inc,16/12/24,FALSE,Tier 2,"8 CTC, 20k Stipend",Associate Data Scientist,FTE + Intern,,8,FALSE,TRUE,TRUE,
MatreComm Technologies ,23/12/24,FALSE,Tier 2,25k Stipend,Software Engineer - C++,Internship (PBC),,7,FALSE,FALSE,FALSE,"26 Students were selected for Assignment round. Assignment was given which was supposed to be completed in 7 days, which will be evaluated to give final offers"
Alcon,17/12/24,FALSE,Tier 2,25k Stipend,Intern - IT & Digital Health,Internship (PBC),,7,FALSE,FALSE,FALSE,
CashFree Payment,17/12/24,FALSE,Tier 2,"42k Stipend, 11 CTC if converted",Devops Engineer 1,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
Industry Cover,19/12/24,FALSE,Tier 2,15k Stipend (Bonuses upto 10k),Business Development Intern,Internship (PBC),,,FALSE,FALSE,FALSE,
Rapido,3/1/24,FALSE,Tier 1,18 CTC (15 Base),Backend Engineer,FTE,,8,FALSE,FALSE,FALSE,
Think41,22/12/24,FALSE,Tier 2,"7 LPA, 25k Intern",Full Stack Engineer,FTE + Intern,,,FALSE,FALSE,FALSE,
Arcesium,6/1/24,FALSE,Tier 1,1L Stipend,SRE,Internship (PBC),4,7 (CS) & 8 (ECE),FALSE,FALSE,FALSE,Shortlisted 150 for Internship
KPMG Global Services,24/12/24,FALSE,Tier 2,"5 CTC, 2 RB",TRM Analyst (Risk Services),FTE,,6,FALSE,FALSE,FALSE,
Amuse Labs,24/12/24,FALSE,Tier 1,40k Stipend + 20k Housing Rent,SDE Intern,Internship (PBC),,8.5,FALSE,FALSE,FALSE,
RL & C Technologies Private Limited,,FALSE,,,,,,7.5,TRUE,TRUE,TRUE,
Nike ITC,26/12/24,FALSE,Tier 1,75k Stipend,Data Engineer Intern,Internship (PBC),,,FALSE,FALSE,FALSE,
CARIAD (Embitel Techn - Volkswagon Group),20/12/24,FALSE,Tier 2,"8 CTC, 30k Stipend",Trainee Engineer,FTE + Intern,,7.1+,FALSE,FALSE,FALSE,
SuperLeap,27/12/24,FALSE,Tier 2,"25k Stipend, 11 CTC (6 Base) if converted",Technical Product Analyst Intern,Internship (PBC),,,FALSE,FALSE,FALSE,
Bitgo,28/12/24,FALSE,Tier 1,"33 Package (15 Base, 6 ESOPs), 40k Stipend",SDE,FTE + Intern,,,FALSE,FALSE,FALSE,
BigEndian Semiconductor,30/12/24,FALSE,Tier 1,25k Stipend,Software Engineer Intern,Internship (PBC),,7,FALSE,FALSE,FALSE,
Qest,30/12/24,TRUE,Tier 1,"12 CTC (7 Base, 4 Equity), 30k Intern",Software Engineer,FTE + Intern,,,FALSE,FALSE,FALSE,Shortlisted 12 for Interview
Juniper Networks,6/1/24,FALSE,Tier 1,40k Intern,MIST(AIDE) Internship,Internship (PBC),,,FALSE,FALSE,FALSE,Shortlised 50 people for Test. Shortlisted 6 for Interview
Ascedion,22/12/24,FALSE,Tier 3,4 CTC (1 year Bond),,FTE,,7,FALSE,FALSE,FALSE,
Tesco (offCampus) (Female) (ALL India),13/1/25,FALSE,Tier 1,"18 CTC, 3L JB",Diverse Graduate Hiring - Women in Tech Program,FTE,,8,FALSE,FALSE,FALSE,
e-Litmus,20/12/24,FALSE,Tier 1,"12 LPA, 29k intern",Software Developer,,,,FALSE,FALSE,FALSE,
Victoria Secrets,1/1/25,FALSE,Tier 2,45k Intern,Data Scientist Intern,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
Pratt & Collins (Collins Aerospace),1/1/25,FALSE,Tier 2,20k Intern,"MRO, Electrification Intern",Internship (PBC),,,FALSE,TRUE,TRUE,Shortlisted 26 for interview 
GKN Aerospace,5/1/25,FALSE,Tier 2,10 CTC,Graduate Engineer Trainee,FTE,,8,FALSE,FALSE,FALSE,
ABB,,FALSE,Tier 2,"10 LPA, 1JB, 1 RB",Analytics Team - Associate Software Engineer,FTE,,7.5,FALSE,FALSE,FALSE,
Akamai Technologies (Intern),,FALSE,Tier 1,"24 Package (14 Base, 2 JB, 8L Stocks), 35k Intern",SWE - IT/DevOps Team,FTE + Intern,,8.5,FALSE,FALSE,FALSE,
Gomarble.ai (T2),,FALSE,Tier 2,"10 CTC, 30k Stipend",AI Engineer,FTE + Intern,,,FALSE,TRUE,TRUE,
Tsalla Aerospace (T2),,FALSE,Tier 3,"5 LPA, 20k Stipend",Junior Engineer,FTE + Intern,,6,TRUE,TRUE,TRUE,
MicroLand (T3),,FALSE,Tier 3,4 CTC,Engineering Trainee,FTE,,6,TRUE,FALSE,FALSE,
HCL Tech (T3),,FALSE,Tier 3,4 CTC,Graduate Engineer Trainee,FTE,,7,TRUE,FALSE,FALSE,Shortlisted 38 for interview
KPMG Global Services (T2),9/1/24,FALSE,Tier 2,20k Stipend,Consulting Intern,Internship (PBC),,,TRUE,FALSE,FALSE,Shortlised 23 People (on Some Unknown Criteria) who are still Unplaced for direct Interview. Role as unkownn as of now. Speculating it to be the same one which happened on 3rd Dec
Thinkinnov Solution Technologies (T2),01/09/2025,TRUE,Tier 2,10k Stipend,,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
Greenway Health India,1/10/2025,FALSE,Tier 2,"6 CTC, 40k Stipend",,Internship (PBC),,6,TRUE,TRUE,TRUE,
WebKnot Technologies,1/11/2025,TRUE,Tier 2,"7 CTC (6 Base), 15k Stipend",,FTE + Intern,,6,FALSE,FALSE,FALSE,
Mutiplier,1/10/2025,FALSE,Tier 1,"80k Stipend, 20 CTC (15 Base) if converted",Associate Product Manager,Internship (PBC),,,FALSE,FALSE,FALSE,
Digital.ai,1/11/2025,FALSE,Tier 2,"25k Stipend, 8 CTC",Intern.,Internship (PBC),,7.5,FALSE,TRUE,TRUE,
KreditBee,1/11/2025,FALSE,Tier 2,"25k Stipend, 7 CTC ",Intern,Internship (PBC),,8,FALSE,FALSE,FALSE,
Serko,1/14/2025,FALSE,Tier 1,"21 CTC, 50k Stipend",SDE,FTE + Intern,,6,TRUE,TRUE,FALSE,
Candescent,1/14/2025,FALSE,Tier 1,"12 CTC, 30K Stipend","Dev, QA, Devops",FTE + Intern,,7,TRUE,FALSE,FALSE,
Raga.ai,1/13/2025,FALSE,Tier 2,20k Stipend,,Internship (PBC),,,FALSE,FALSE,FALSE,
Wokelo.ai,1/9/2025,FALSE,Tier 1,"25k Stipend, 17 CTC",Data Scientist Intern,Internship (PBC),,7.5,FALSE,FALSE,FALSE,
Rakuten India,1/17/2025,TRUE,Tier 2,30k Stipend,,Internship (PBC),,7,FALSE,FALSE,FALSE,
Media.net,1/16/2025,FALSE,Tier 2,8 CTC,Web Application Developer,FTE,,6,TRUE,FALSE,FALSE,
My Yoga Teacher,1/16/2025,FALSE,Tier 3,"3.6 CTC, 30k Stipend",SE Intern,Internship (PBC),,6.5,FALSE,FALSE,FALSE,
Tredence,,FALSE,,,,,,,FALSE,FALSE,FALSE,
WNS Analytics,,FALSE,,,,,,,FALSE,FALSE,FALSE,
JAR App,,FALSE,,,,,,,FALSE,FALSE,FALSE,
KGS,,FALSE,,,,,,,FALSE,FALSE,FALSE,
,,,,,,,,,,,,
,,,,,,,,,,,,
PPOs (Summer Internship),Stipend ,,,CTC (If converted),Offers Made (after Intern Work),,,,,,,
HPE (Catch Them Young - CTY),---,,,17.5 CTC (12 Base),12 FTE,,,,,,,
JPMC (thru Hackathon),---,,,19.3 CTC (13 Base),7 FTE,,,,,,,
Arista,65000,,,19.5 CTC (16 Base),4 FTE,,,,,,,
Morgan Stanley,87000,,,29.48 CTC (13 Base),4 FTE,,,,,,,
Dover,25000,,,13 CTC (11 Base),1 FTE,,,,,,,
GoldmanSachs,,,,,1 FTE,,,,,,,
G2,40000,,,15 CTC,1 FTE,,,,,,,
Fidelity,35000,,,12 CTC (10 Base),3 FTE,,,,,,,
Akamai,35000,,,18 CTC (12 Base),5 FTE,,,,,,,
UPL,20000,,,10 CTC,1 FTE,,,,,,,
Bosch,35000,,,,,,,,,,,
Microsoft,,,,32 CTC,1 FTE,,,,,,,
Expedia,30000,,,31 CTC (15 Base),6 FTE,,,,,,,
,,,,,,,,,,,,
Total (PPO offers),,,,,46,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FINAL,,,,,888,,,,,,,